Ax,Ay,Az,Gx,Gy,Gz
-0.51,-1.24,-0.02,-0.17,-0.90,0.37
-0.50,-1.20,0.09,0.03,-1.20,0.24
-0.54,-1.20,-0.00,-0.45,-1.14,-0.06
-0.56,-1.27,-0.19,-0.87,-1.48,-0.18
-0.56,-1.29,-0.38,-1.01,-1.27,-0.69
-0.54,-1.25,-0.52,-0.51,-1.48,-0.95
-0.43,-1.17,-0.44,-0.18,-0.99,-1.28
-0.38,-1.11,-0.56,-0.39,-0.73,-1.40
-0.32,-1.03,-0.55,-0.40,-0.23,-1.53
-0.17,-0.88,-0.55,-0.11,0.00,-1.52
-0.10,-0.80,-0.47,-0.03,0.50,-1.32
-0.06,-0.77,-0.42,0.00,0.76,-1.11
0.00,-0.71,-0.43,0.21,0.98,-0.79
0.00,-0.71,-0.34,0.42,1.23,-0.56
0.11,-0.65,-0.24,0.37,1.37,-0.32
0.15,-0.61,-0.21,0.27,1.53,0.06
0.12,-0.60,-0.06,0.37,1.55,0.51
0.12,-0.57,0.09,0.46,1.43,0.87
0.01,-0.67,0.20,0.15,1.42,1.23
-0.02,-0.75,0.20,-0.09,0.83,1.42
-0.24,-1.00,0.14,-0.37,0.78,1.64
-0.33,-1.10,0.14,-0.23,0.43,1.40
-0.46,-1.21,0.15,-0.25,0.22,1.23
-0.55,-1.20,0.24,0.09,-0.14,0.88
-0.44,-1.12,0.34,0.26,-0.80,0.79
-0.52,-1.26,0.09,-0.58,-0.88,0.42
-0.45,-1.18,0.05,-0.30,-1.30,0.23
-0.47,-1.22,-0.10,-0.43,-1.34,-0.06
-0.52,-1.20,-0.04,-0.40,-1.54,-0.04
-0.62,-1.28,-0.30,-0.73,-1.85,-0.21
-0.59,-1.24,-0.45,-0.84,-1.44,-0.77
-0.55,-1.24,-0.76,-0.87,-1.26,-1.14
-0.43,-1.13,-0.64,-0.23,-0.49,-1.53
-0.28,-0.99,-0.54,0.12,-0.17,-1.59
-0.23,-0.94,-0.46,0.18,0.14,-1.51
-0.10,-0.82,-0.41,0.16,0.42,-1.37
-0.07,-0.79,-0.39,0.06,0.85,-1.07
0.00,-0.73,-0.32,0.05,1.07,-0.90
0.08,-0.69,-0.30,0.04,1.28,-0.60
0.08,-0.66,-0.28,0.13,1.34,-0.26
0.11,-0.58,-0.08,0.42,1.53,0.19
0.10,-0.61,-0.04,0.26,1.32,0.57
0.07,-0.64,0.11,0.13,1.62,0.77
0.07,-0.69,0.19,0.32,1.07,1.18
-0.06,-0.78,0.23,-0.15,1.06,1.42
-0.17,-0.84,0.30,-0.17,0.81,1.42
-0.28,-0.93,0.25,-0.42,0.33,1.46
-0.48,-1.07,0.25,-0.52,-0.06,1.59
-0.59,-1.16,0.26,-0.34,-0.32,1.26
-0.71,-1.28,0.09,-0.73,-1.04,1.11
-0.68,-1.28,-0.02,-0.94,-1.09,0.47
-0.63,-1.24,-0.10,-0.28,-1.55,0.24
-0.72,-1.34,-0.22,-0.95,-1.43,0.04
-0.78,-1.36,-0.51,-1.49,-1.77,-0.57
-0.76,-1.30,-0.67,-0.53,-1.21,-1.13
-0.65,-1.19,-0.59,-0.44,-0.70,-1.63
-0.47,-1.02,-0.59,-0.09,-0.45,-1.92
-0.26,-0.88,-0.55,-0.03,-0.18,-1.86
-0.19,-0.87,-0.59,0.06,0.15,-1.65
-0.07,-0.72,-0.52,0.42,0.48,-1.58
-0.01,-0.62,-0.52,0.15,0.96,-1.19
0.02,-0.55,-0.36,0.42,1.40,-0.77
0.04,-0.51,-0.23,0.58,1.30,-0.29
0.10,-0.50,-0.12,0.38,1.35,0.13
0.05,-0.58,0.01,0.35,1.12,0.67
0.02,-0.69,-0.11,0.73,0.72,1.08
-0.05,-0.74,0.18,1.01,1.29,1.19
-0.18,-0.85,0.32,0.45,1.11,1.35
-0.25,-0.93,0.36,-0.03,0.94,1.24
-0.29,-0.99,0.31,-0.34,0.68,1.25
-0.40,-1.02,0.51,-0.20,0.48,1.22
-0.46,-1.11,0.28,-0.46,-0.44,1.11
-0.55,-1.17,0.15,-0.93,-0.43,0.84
-0.51,-1.16,0.11,-0.68,-0.60,0.50
-0.63,-1.25,-0.14,-1.13,-0.91,0.25
-0.60,-1.20,-0.18,-1.39,-0.72,-0.12
-0.57,-1.13,-0.40,-1.77,-1.13,-0.45
-0.69,-1.25,-0.67,-2.27,-0.71,-0.79
-0.61,-1.23,-0.88,-0.47,-0.90,-1.22
-0.50,-1.11,-0.73,0.69,-1.08,-1.45
-0.45,-1.04,-0.64,0.55,-0.67,-1.54
-0.40,-0.94,-0.60,0.43,-0.27,-1.59
-0.23,-0.77,-0.59,0.22,0.01,-1.74
-0.12,-0.73,-0.61,0.06,0.59,-1.49
-0.05,-0.72,-0.50,0.47,0.76,-1.20
0.05,-0.65,-0.45,0.28,1.05,-0.94
0.10,-0.58,-0.41,0.27,1.33,-0.52
0.16,-0.45,-0.27,0.87,1.29,-0.09
0.11,-0.51,-0.09,0.86,1.50,0.51
0.06,-0.52,0.05,0.30,2.03,0.70
-0.01,-0.59,0.12,0.26,1.40,1.24
-0.16,-0.73,0.26,0.33,1.28,1.52
-0.26,-0.87,0.21,-0.15,0.74,1.67
-0.36,-1.03,0.12,-0.41,0.64,1.46
-0.40,-1.03,0.34,0.05,0.25,1.38
-0.51,-1.14,0.29,-0.26,-0.33,1.40
-0.58,-1.23,0.16,-0.75,-0.61,1.02
-0.55,-1.19,0.19,-0.55,-1.00,0.70
-0.65,-1.28,-0.28,-0.58,-1.70,0.54
-0.59,-1.14,-0.01,-0.45,-0.95,0.07
-0.71,-1.31,-0.33,-1.23,-1.25,-0.19
-0.67,-1.29,-0.45,-1.00,-1.31,-0.63
-0.67,-1.27,-0.57,-0.71,-1.01,-1.07
-0.61,-1.17,-0.52,-0.41,-0.72,-1.41
-0.51,-1.04,-0.51,-0.15,-0.57,-1.66
-0.37,-0.94,-0.47,-0.12,-0.38,-1.67
-0.27,-0.88,-0.51,-0.08,-0.10,-1.55
-0.21,-0.84,-0.51,0.12,0.22,-1.50
-0.06,-0.77,-0.47,0.12,0.82,-1.53
-0.04,-0.75,-0.49,-0.05,1.16,-1.26
0.06,-0.67,-0.47,0.53,1.23,-0.90
0.08,-0.62,-0.20,0.78,1.33,-0.45
0.15,-0.60,-0.15,0.44,1.15,-0.16
0.10,-0.65,-0.13,0.05,1.57,0.32
0.13,-0.66,-0.08,0.09,1.52,0.46
0.11,-0.65,0.25,-0.21,2.34,0.84
0.00,-0.77,0.03,-0.44,0.76,1.23
-0.08,-0.75,0.23,-0.80,1.32,1.15
-0.05,-0.81,0.10,-0.07,0.17,1.47
-0.28,-0.99,0.26,-0.44,0.04,1.74
